2026-06-19 14:09:04,286 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-06-19 14:09:04,310 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-06-19 14:09:04,311 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-06-19 14:09:04,311 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-06-19 14:09:04,313 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-06-19 14:09:04,314 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-06-19 14:09:04,315 INFO  SwAddin.cs: 201 - Setting up command manager
2026-06-19 14:09:04,315 INFO  SwAddin.cs: 204 - Adding command manager
2026-06-19 14:09:04,317 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-06-19 14:09:04,319 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-06-19 14:09:04,319 INFO  SwAddin.cs: 210 - Adding event handlers
2026-06-19 14:09:04,448 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-06-19 14:09:15,532 INFO  SwAddin.cs: 294 - Assembly export called for file CobotASSY
2026-06-19 14:09:26,450 INFO  SwAddin.cs: 313 - Saving assembly
2026-06-19 14:09:26,656 INFO  SwAddin.cs: 316 - Opening property manager
2026-06-19 14:09:26,663 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from CobotASSY
2026-06-19 14:09:26,668 INFO  ExportHelperExtension.cs: 1136 - Found 36 in CobotASSY
2026-06-19 14:09:26,668 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in CobotASSY
2026-06-19 14:09:26,670 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-06-19 14:09:26,671 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2026-06-19 14:09:26,672 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link4-1
